,seq,time
0,tra,308798800
1,rav,305645300
2,ave,309806200
3,vel,247971400
4, ,0
5,dea,307165000
6,ead,249808700
7, ,0
8,exc,822633500
9,xci,825108400
10,cit,251096800
11,ite,186788200
12, ,0
13,onl,247696600
14,nly,253750500
15, ,0
16,poi,244168900
17,oin,305802700
18,int,313070100
19, ,0
20,cov,246033300
21,ove,245539000
22,ver,245018400
23, ,0
24,too,250115400
25,ool,312013900
26, ,0
27,uni,310090800
28,nit,188040600
29, ,0
30,tou,875640300
31,ouc,874624900
32,uch,310761100
33, ,0
34,und,250084500
35,nde,248369400
36,der,310033300
37, ,0
38,cha,252663300
39,har,250969400
40,ara,246717000
41,rac,309001600
42,act,373666500
43,cte,249586300
44,ter,186623800
45, ,0
46,soi,1180465800
47,oil,1057409500
48, ,0
49,nee,311343800
50,eed,373942200
51, ,0
52,sta,312182400
53,tan,248307000
54,and,185473900
55, ,0
56,mat,1682541000
57,ate,748732700
58,ter,435963300
59,eri,2862970800
60,ria,2740689600
61,ial,253412900
62, ,0
63,squ,745394100
64,qua,311891000
65,uar,436113700
66,are,187954400
67, ,0
68,eve,311639700
69,ver,189936900
70, ,0
71,off,248182800
72,ffi,373300600
73,fic,372344900
74,ice,497973600
75, ,0
76,cou,184915400
77,oun,310236700
78,unt,248949300
79, ,0
80,pro,248980700
81,roc,248305900
82,oce,434104400
83,ces,310466800
84,ess,246569200
85, ,0
86,hav,248776700
87,ave,248601700
88, ,0
89,gla,247055700
90,las,245419600
91,ass,248759500
92, ,0
93,bas,309019000
94,asi,309395600
95,sic,247990300
96, ,0
97,ter,247621500
98,erm,246209700
99, ,0
100,lon,249642900
101,ong,187741200
102, ,0
103,hil,309774000
104,ill,619259300
105, ,0
106,pla,434597500
107,lan,249676200
108,ane,188416100
109, ,0
110,wit,184326200
111,ith,248625700
112, ,0
113,eff,742630400
114,ffe,186996600
115,fec,310603800
116,ect,374939200
117, ,0
118,col,309532100
119,olo,308581700
120,lon,313922000
121,ony,437995400
122, ,0
123,eas,375930300
124,ase,250858700
125, ,0
126,win,187726700
127, ,0
128,dec,435348800
129,eci,311921100
130,cid,248585200
131,ide,374117200
132, ,0
133,mou,249091200
134,out,248744300
135,uth,311452600
136, ,0
137,bot,249618800
138,ott,310874200
139,tto,248886700
140,tom,688057400
141, ,0
142,fis,689375000
143,ish,690080300
144, ,0
145,box,311310200
146, ,0
147,nat,184914500
148,atu,307982600
149,tur,309006900
150,ura,187069000
151,ral,189185000
152, ,0
153,dee,496953800
154,eep,437105200
155, ,0
156,fin,249583300
157,ind,187458800
158, ,0
159,wat,873280900
160,ate,251638900
161,ter,251051700
162, ,0
163,kin,250072000
164,ing,188006300
165, ,0
166,sno,126051900
167,now,188163800
168, ,0
169,hea,123561700
170,ear,186379800
171, ,0
172,equ,249808500
173,qua,311349100
174,ual,310327800
175, ,0
176,bea,250921000
177,eau,688153300
178,aut,1497933600
179,uty,1057921700
180, ,0
181,edg,433497900
182,dge,372752700
183, ,0
184,par,123889900
185,art,310319700
186, ,0
187,spo,186770300
188,pok,374744400
189,oke,373520000
190, ,0
191,fea,125152200
192,ear,250096400
193, ,0
194,one,188052200
195, ,0
196,inc,247371300
197,ncl,248006400
198,clu,188033600
199,lud,811782400
200,ude,996449600
201, ,0
202,fri,313916700
203,rie,248563500
204,ien,682018900
205,end,992847800
206, ,0
207,whe,250378200
208,her,313370000
209,ere,251200600
210, ,0
211,beg,371681100
212,egi,247611200
213,gin,124825600
214, ,0
215,car,935761500
216,ard,1241509500
217, ,0
218,str,248886400
219,tro,248779600
220,ron,247597800
221,ong,250090800
222, ,0
223,eas,437274800
224,ast,496651700
225, ,0
226,tha,187837900
227,han,312586800
228, ,0
229,lig,189069400
230,igh,251167900
231,ght,247673100
232, ,0
233,sho,187094600
234,hou,185876900
235,oul,312473600
236,uld,315843000
237, ,0
238,ban,250951500
239,and,810133400
240, ,0
241,lit,309746800
242,itt,371672700
243,ttl,310545000
244,tle,372975400
245, ,0
246,els,246040800
247,lse,247539200
248, ,0
249,mas,125104400
250,ass,250818700
251, ,0
252,eng,311062900
253,ngi,250767700
254,gin,189829500
255,ine,250439300
256, ,0
257,win,185749800
258,ing,246345600
259, ,0
260,jus,247552600
261,ust,187294200
262, ,0
263,aga,311674900
264,gai,308597800
265,ain,249905900
266, ,0
267,cle,250702700
268,lea,248546000
269,ear,184909200
270, ,0
271,mil,308968100
272,ilk,1178553200
273, ,0
274,nig,248403100
275,igh,869435700
276,ght,932671500
277, ,0
278,wee,371255800
279,eek,249988400
280, ,0
281,sup,245539100
282,upp,430793100
283,ppl,434609800
284,ply,435786000
285, ,0
286,clo,251456400
287,los,619078300
288,ose,494564700
289, ,0
290,ove,433707600
291,ver,184534700
292, ,0
293,mot,250791100
294,oti,310840800
295,tio,185326300
296,ion,123749000
297, ,0
298,cam,312807100
299,ame,373802500
300, ,0
301,wro,248534700
302,rot,313023600
303,ote,252311500
304, ,0
