,seq,time
0,cl,63219800
1,li,125694200
2,im,123432900
3,mb,1367354200
4, ,0
5,si,562611900
6,im,186516900
7,mi,123669800
8,il,124812100
9,la,190076400
10,ar,123356500
11, ,0
12,bo,62951200
13,ou,62364700
14,ug,249764800
15,gh,186430100
16,ht,288000
17, ,0
18,su,61993300
19,un,436301700
20, ,0
21,sy,185344000
22,yl,188036300
23,ll,123646000
24,la,61381600
25,ab,125085700
26,bl,122191600
27,le,126195900
28, ,0
29,wi,123359500
30,if,621089200
31,fe,123739700
32, ,0
33,su,61428100
34,ug,250407400
35,ga,123844400
36,ar,124090700
37, ,0
38,th,124298900
39,hr,247541500
40,re,372232000
41,ee,250473800
42, ,0
43,ph,617701500
44,hr,372133800
45,ra,123446200
46,as,374237900
47,se,123614400
48, ,0
49,mi,123873400
50,il,123948700
51,ll,125856900
52,li,122935300
53,io,186334700
54,on,123897400
55, ,0
56,sh,124579100
57,ho,124713100
58,or,187447200
59,re,61872900
60, ,0
61,fa,185036000
62,at,184733800
63,th,436462000
64,he,311142900
65,er,62848500
66, ,0
67,ho,125220100
68,ot,682161100
69, ,0
70,ma,125205500
71,at,124977200
72,tc,244902500
73,ch,61325700
74, ,0
75,lo,185140500
76,og,61315900
77, ,0
78,ma,123587000
79,aj,186121800
80,jo,868246500
81,or,188433100
82, ,0
83,pa,60657900
84,ag,308710900
85,ge,61362200
86, ,0
87,eq,123761800
88,qu,124868300
89,ua,125488400
90,at,186445400
91,te,122630500
92, ,0
93,fe,250036100
94,ea,61824000
95,ar,248146100
96, ,0
97,gr,185652700
98,ra,62065600
99,ay,369183500
100, ,0
101,id,128013600
102,de,186096000
103,ea,62309300
104, ,0
105,mi,62573600
106,is,124258500
107,ss,187548900
108, ,0
109,ow,126843800
110,wn,122696900
111, ,0
112,fe,122579700
113,ee,188383100
114,ed,186963500
115, ,0
116,pa,62174900
117,as,372791300
118,ss,124086300
119, ,0
120,pl,187680100
121,la,60858100
122,an,124747000
123,ne,123320700
124, ,0
125,ha,62665800
126,at,185782700
127, ,0
128,un,186970400
129,ni,124439600
130,it,124345900
131, ,0
132,sl,62518300
133,le,123897600
134,ee,187621200
135,ep,62671600
136, ,0
137,ir,125318400
138,ro,124674700
139,on,123542400
140, ,0
141,fu,123853200
142,ul,125494600
143,ll,126302200
144, ,0
145,va,62906000
146,al,124870900
147,ll,123668200
148,le,125026500
149,ey,125047200
150, ,0
151,al,124023900
152,lw,185674700
153,wa,62858300
154,ay,186039500
155,ys,126175300
156, ,0
157,pa,62420100
158,ay,123834800
159, ,0
160,ob,61715700
161,bj,250516000
162,je,62847800
163,ec,247389200
164,ct,187263100
165, ,0
166,ca,187331800
167,ar,62837200
168,re,248754200
169, ,0
170,ar,123574000
171,re,62381900
172, ,0
173,ca,248177500
174,at,559652300
175, ,0
176,ce,186662100
177,el,124792000
178,ll,122906700
179, ,0
180,se,64105900
181,el,124679100
182,ll,123630000
183, ,0
184,un,184912700
185,nd,123377000
186,de,122659500
187,er,126827400
188, ,0
189,me,62239900
190,en,125138600
191, ,0
192,hu,186095700
193,um,124214700
194,ma,124895700
195,an,126294100
196, ,0
197,dr,183970600
198,re,125305800
199,es,250357400
200,ss,247451300
201, ,0
202,le,62588100
203,ea,61898600
204,as,123984200
205,st,750865900
206, ,0
207,wh,63100300
208,he,185953400
209,et,186888600
210,th,372481300
211,he,124147500
212,er,124314000
213, ,0
214,ge,124993800
215,en,123837800
216,nt,187133700
217,tl,185558900
218,le,185524200
219, ,0
220,qu,124705000
221,ui,61537500
222,it,61865900
223,te,123220000
224, ,0
225,fo,124516200
226,ou,61423900
227,un,186020600
228,nd,123221200
229, ,0
230,le,62815500
231,ea,123423700
232,av,186201000
233,ve,63161600
234, ,0
235,th,123387000
236,he,124876500
237,ey,186734300
238, ,0
239,be,60941800
240,ea,124779900
241,ar,61922200
242, ,0
243,ce,309841000
244,er,1055929100
245,rt,498025600
246,ta,124349600
247,ai,122747200
248,in,123743000
249, ,0
250,se,124292900
251,ee,185426100
252,em,124532900
253, ,0
254,sw,187941500
255,wi,123433200
256,im,311049100
257, ,0
258,ni,124530000
259,ig,123490400
260,gh,123708800
261,ht,61663700
262, ,0
263,de,249651100
264,ea,61472000
265,ad,186118400
266, ,0
267,su,123502800
268,ui,61970200
269,it,186783200
270, ,0
271,fi,62189700
272,il,186462600
273,ll,62988000
274, ,0
275,ta,122785700
276,al,124291700
277,ll,123837100
278, ,0
279,mi,123204600
280,id,61447700
281,dd,186676300
282,dl,186171300
283,le,123087900
284, ,0
285,ma,123340000
286,ar,62057500
287,rk,186943400
288,ke,124364400
289,et,249533200
290, ,0
291,di,123913400
292,iv,124639700
293,vi,126829800
294,is,433104000
295,si,122661300
296,io,62477800
297,on,124767400
298, ,0
299,fi,125087200
300,in,186619300
301,na,62367300
302,al,123738700
303, ,0
304,we,61593500
305,es,931736600
306,st,186398500
307, ,0
308,an,62122500
309,ny,251000300
310, ,0
311,tr,186857600
312,ry,62506500
313, ,0
314,qu,186571100
315,uo,1304350200
316,ot,186851400
317,ti,122739700
318,ie,123678300
319,en,310390300
320,nt,186747200
321, ,0
322,ba,61334800
323,al,62230000
324,ll,186547200
325, ,0
326,mi,62050700
327,ix,125293100
328, ,0
329,mo,61742300
330,or,62688200
331,re,61971600
332, ,0
333,ch,62527000
334,ha,125359400
335,ar,61789500
336,rg,245493300
337,ge,124687000
338, ,0
339,bo,127100100
340,oo,62804500
341,ok,123690700
342, ,0
343,wh,125079800
344,ho,186217400
345,ol,184920300
346,le,186307000
347, ,0
348,bo,63476400
349,oa,372799700
350,at,435931300
351, ,0
352,la,62871000
353,an,124558400
354,ng,374177000
355,gu,123974900
356,ua,124920800
357,ag,248386200
358,ge,124732800
359, ,0
360,cr,186058000
361,ro,61431900
362,os,125112500
363,ss,185017400
364, ,0
365,co,124272800
366,ov,185769600
367,ve,245736300
368,er,123890100
369, ,0
370,si,123330200
371,in,122233800
372,ng,61666100
373, ,0
374,br,312274100
375,ro,436081300
376,oa,560226300
377,ad,316067900
378, ,0
379,br,1180534400
380,ri,123349100
381,ig,123702400
382,gh,123572000
383,ht,125724000
384, ,0
385,th,61933700
386,ha,124021500
387,an,188115000
388, ,0
389,cr,189231000
390,re,62033100
391,ea,63237400
392,at,187396400
393,te,61799400
394, ,0
395,pr,61713700
396,re,124773900
397,es,249379100
398,se,124921900
399,en,314300
400,nt,246591200
401, ,0
402,ma,63321200
403,ap,124025500
404, ,0
405,el,63615900
406,ls,124102200
407,se,61124700
408, ,0
409,re,62670300
410,ea,63238400
411,al,61082600
412, ,0
413,dr,184226900
414,ry,124179500
415, ,0
416,fe,60620600
417,el,124914000
418,lt,185882600
419, ,0
420,ho,62547900
421,ow,124552800
422, ,0
423,ha,61803800
424,as,123456100
425, ,0
426,en,125393700
427,nt,61967800
428,te,125560200
429,er,125450600
430, ,0
431,co,61824900
432,or,124178500
433,rn,188256500
434, ,0
435,si,63021100
436,im,63557100
437,mp,248025400
438,pl,187321800
439,le,186817500
440, ,0
441,on,61712900
442,ne,128171800
443, ,0
444,co,126103000
445,ow,123536800
446, ,0
447,pr,62116300
448,ra,748640300
449,ac,621058900
450,ct,247295800
451,ti,123922300
452,ic,560990800
453,ce,247737800
454, ,0
455,pl,124722700
456,le,125727800
457,ea,62200300
458,as,186066500
459,se,62747100
460, ,0
461,bl,185732100
462,lu,61151800
463,ue,187150700
464, ,0
465,wi,323100
466,in,126600200
467, ,0
