,seq,time
0,st,372523900
1,to,248288600
2,oo,124138500
3,od,312775800
4, ,0
5,ra,186528200
6,ai,308705100
7,in,249369900
8, ,0
9,no,187078100
10,ow,307531400
11, ,0
12,co,249547900
13,on,251325400
14,ns,249430100
15,so,249566800
16,on,558374700
17,na,124064100
18,an,186301700
19,nt,124314600
20, ,0
21,ex,311382400
22,xa,1499715300
23,ac,185970900
24,ct,375603800
25, ,0
26,wa,186052500
27,av,123926800
28,ve,187227200
29, ,0
30,to,123747400
31,oo,125358500
32,ol,186087200
33, ,0
34,co,124537400
35,oo,124185500
36,ok,186853000
37, ,0
38,qu,123120400
39,ue,123806400
40,es,557149100
41,st,250247800
42,ti,124975900
43,io,124872400
44,on,248541200
45, ,0
46,co,62257700
47,op,123924100
48,py,309060300
49, ,0
50,go,125537000
51,on,124226800
52,ne,123329800
53, ,0
54,ar,187113800
55,rr,124076500
56,ra,186502500
57,an,312557000
58,ng,434455400
59,ge,188154100
60, ,0
61,no,247858200
62,oi,124105200
63,is,314372700
64,se,127410400
65, ,0
66,su,436130400
67,ub,495960800
68,bt,434428400
69,tr,124705800
70,ra,744192700
71,ac,185390900
72,ct,188037300
73, ,0
74,sh,372754300
75,hi,122532400
76,in,249071900
77,ne,248076200
78, ,0
79,im,124264000
80,ma,248223300
81,ag,250172500
82,gi,186001100
83,in,248214000
84,ne,246253200
85, ,0
86,wo,309679700
87,or,250212900
88,rl,247333100
89,ld,375407700
90, ,0
91,br,186575600
92,ro,312982300
93,ou,247699700
94,ug,185594500
95,gh,127532100
96,ht,187905300
97, ,0
98,wo,249078900
99,or,311178900
100,rk,370357800
101, ,0
102,sq,187842300
103,qu,747784300
104,ua,311937300
105,ar,185417800
106,re,125215500
107, ,0
108,ap,312665200
109,pp,125800200
110,pl,186277700
111,le,246637900
112, ,0
113,ma,309112200
114,ag,621370700
115,gn,124504600
116,ne,311229500
117,et,124242100
118, ,0
119,mi,250797700
120,il,184638800
121,ll,62672000
122,li,185365700
123,io,187175000
124,on,248223400
125, ,0
126,va,249616800
127,al,314092600
128,ll,124196500
129,le,308979600
130,ey,248090000
131, ,0
132,so,313148700
133,om,184994900
134,me,310945000
135, ,0
136,qu,1117571500
137,ui,188829600
138,it,247125000
139,te,187251700
140, ,0
141,se,124371100
142,en,461244000
143,nt,176284400
144,te,186427200
145,en,310980200
146,nc,250520800
147,ce,185503600
148, ,0
149,ga,249787100
150,ar,186424400
151,rd,186611400
152,de,124986800
153,en,373872100
154, ,0
155,pl,186171800
156,la,310012700
157,an,312334900
158,ne,312353300
159,et,248630800
160, ,0
161,di,310808000
162,is,248614800
163,st,247393700
164,ta,247708700
165,an,250246700
166,nt,250206700
167, ,0
168,de,125341500
169,ea,186013800
170,at,249306500
171,th,187187800
172, ,0
173,un,186879400
174,ni,125463700
175,it,249081400
176, ,0
177,ev,186456000
178,ve,187792700
179,er,184825000
180,ry,250456800
181, ,0
182,ba,251112100
183,an,497137400
184,nk,186610300
185, ,0
186,ye,247252500
187,ea,186707300
188,ar,186173200
189, ,0
190,ch,122631300
191,hi,188997200
192,ic,248783700
193,ck,682818300
194, ,0
195,de,248583200
196,ee,124187300
197,ep,186604500
198, ,0
199,de,250124400
200,ea,248820600
201,ad,249319800
202, ,0
203,ag,309922800
204,go,186283100
205, ,0
206,de,187758100
207,ea,186754500
208,ar,188152600
209, ,0
210,di,248727800
211,ic,250489300
212,ct,624729600
213,ti,246398900
214,io,122808500
215,on,186545200
216,na,309983600
217,ar,247205200
218,ry,186915900
219, ,0
220,vi,248923400
221,il,185931400
222,ll,122898300
223,la,314150300
224,ag,622220000
225,ge,188752600
226, ,0
227,qu,312534300
228,ua,311365700
229,ar,245745100
230,rt,125470400
231, ,0
232,me,310767100
233,ea,124752400
234,an,310915100
235, ,0
236,la,310717200
237,an,433887700
238,ng,246642000
239,gu,186631800
240,ua,309739300
241,ag,249603700
242,ge,186978100
243, ,0
244,sh,312077800
245,he,248680100
246, ,0
247,or,309000200
248,ri,249075500
249,ig,249313700
250,gi,186076800
251,in,498064400
252,na,309160900
253,al,372946300
254, ,0
255,co,308841100
256,on,250226900
257,nt,372691400
258,ti,248157200
259,in,311492000
260,ne,249109800
261,en,562283900
262,nt,187223500
263, ,0
264,op,186976900
265,pp,124480500
266,po,247798500
267,os,377252700
268,si,251295600
269,it,308219700
270,te,310143100
271, ,0
272,fi,185028400
273,ig,311270500
274,gh,125346900
275,ht,185761300
276, ,0
277,fa,245899900
278,ar,250726500
279,rm,438166400
280, ,0
281,na,312098000
282,am,308599000
283,me,247932400
284, ,0
285,pi,804604800
286,ie,248942400
287,ec,186592400
288,ce,125131400
289, ,0
290,ti,250199100
291,ir,250370700
292,re,124156300
293, ,0
294,to,930760600
295,ou,250669900
296,uc,805586000
297,ch,186332200
298, ,0
299,ge,248146800
300,et,187677700
301, ,0
302,pl,124299600
303,la,310792700
304,an,434424300
305,nt,187143500
306, ,0
307,so,312701400
308,ol,123322600
309,lv,310699900
310,ve,186182500
311, ,0
312,ma,312567200
313,an,374108600
314, ,0
315,us,308606000
316,se,187392300
317, ,0
318,in,184500000
319,nd,311179200
320,di,185523400
321,ic,561023200
322,ca,252013100
323,at,312797900
324,te,186614100
325, ,0
326,wi,308078400
327,if,559906800
328,fe,123851100
329, ,0
330,sp,310339800
331,po,124271200
332,ot,309424900
333, ,0
334,cr,186145500
335,re,186900800
336,ea,186565100
337,as,187788400
338,se,124683200
339, ,0
340,sp,310502100
341,pr,2312439900
342,re,248650200
343,ea,186738700
344,ad,247777200
345, ,0
346,ne,311331700
347,ex,124459600
348,xt,186865600
349, ,0
350,wo,372297600
351,ou,188336200
352,ul,125461300
353,ld,309710400
354, ,0
355,ro,250642200
356,oo,126358600
357,ot,622035200
358, ,0
359,hi,187874900
360,il,248725000
361,ll,125278600
362, ,0
363,fl,247904800
364,lo,185354600
365,ow,248810400
366, ,0
367,co,250015400
368,os,310939800
369,st,375094900
370, ,0
371,or,312406000
372,rg,187455100
373,ga,247295700
374,an,439856000
375, ,0
376,di,253059100
377,iv,246074600
378,vi,186637900
379,id,309741800
380,de,185329000
381, ,0
382,ch,246503900
383,ha,249470400
384,ar,248930600
385,rt,186044800
386, ,0
387,hi,494740700
388,is,313035900
389,st,247605500
390,to,249010000
391,or,313554500
392,ry,186745900
393, ,0
394,fi,247247300
395,ir,248925900
396,rs,184403000
397,st,187437700
398, ,0
399,ou,184405800
400,ur,307031300
401, ,0
402,tr,121773100
403,ra,248471200
404,ad,188420000
405,de,185215900
406, ,0
407,gr,186879800
408,ro,249744800
409,ou,187691800
410,un,187530600
411,nd,309418900
412, ,0
413,bo,934385400
414,oa,311937700
415,ar,248544500
416,rd,124294400
417, ,0
418,no,247589000
419,or,310719000
420, ,0
421,ca,247462100
422,am,372633900
423,me,248097600
424, ,0
425,ro,309253700
426,os,247620900
427,se,186308200
428, ,0
429,co,310961000
430,ol,125048000
