,seq,time
0,sto,620812500
1,too,372427100
2,ood,436914300
3, ,0
4,rai,495233300
5,ain,558075000
6, ,0
7,now,494609500
8, ,0
9,con,500873300
10,ons,500755500
11,nso,498996900
12,son,807941500
13,ona,682438800
14,nan,310365800
15,ant,310616300
16, ,0
17,exa,1811097700
18,xac,1685686200
19,act,561574700
20, ,0
21,wav,309979300
22,ave,311154000
23, ,0
24,too,249105900
25,ool,311445700
26, ,0
27,coo,248722900
28,ook,311038500
29, ,0
30,que,246926800
31,ues,680955500
32,est,807396900
33,sti,375223700
34,tio,249848300
35,ion,373413600
36, ,0
37,cop,186181800
38,opy,432984400
39, ,0
40,gon,249763800
41,one,247556600
42, ,0
43,arr,311190300
44,rra,310579000
45,ran,499059500
46,ang,747012400
47,nge,622609500
48, ,0
49,noi,371963400
50,ois,438477900
51,ise,441783100
52, ,0
53,sub,932091200
54,ubt,930389200
55,btr,559134200
56,tra,868898500
57,rac,929583600
58,act,373428200
59, ,0
60,shi,495286700
61,hin,371604300
62,ine,497148100
63, ,0
64,ima,372487300
65,mag,498395800
66,agi,436173600
67,gin,434215100
68,ine,494467200
69, ,0
70,wor,559892600
71,orl,497546000
72,rld,622740800
73, ,0
74,bro,499557900
75,rou,560682000
76,oug,433294200
77,ugh,313126600
78,ght,315437400
79, ,0
80,wor,560257800
81,ork,681536700
82, ,0
83,squ,935626600
84,qua,1059721600
85,uar,497355100
86,are,310633300
87, ,0
88,app,438465400
89,ppl,312077900
90,ple,432915600
91, ,0
92,mag,930482900
93,agn,745875300
94,gne,435734100
95,net,435471600
96, ,0
97,mil,435436500
98,ill,247310800
99,lli,248037700
100,lio,372540700
101,ion,435398400
102, ,0
103,val,563709400
104,all,438289100
105,lle,433176100
106,ley,557069600
107, ,0
108,som,498143600
109,ome,495939900
110, ,0
111,qui,1306401100
112,uit,435954600
113,ite,434376700
114, ,0
115,sen,585615100
116,ent,637528400
117,nte,362711600
118,ten,497407400
119,enc,561501000
120,nce,436024400
121, ,0
122,gar,436211500
123,ard,373035800
124,rde,311598200
125,den,498858900
126, ,0
127,pla,496184500
128,lan,622347600
129,ane,624688200
130,net,560984100
131, ,0
132,dis,559422800
133,ist,496008500
134,sta,495102400
135,tan,497955400
136,ant,500453400
137, ,0
138,dea,311355300
139,eat,435320300
140,ath,436494300
141, ,0
142,uni,312343100
143,nit,374545100
144, ,0
145,eve,374248700
146,ver,372617700
147,ery,435281800
148, ,0
149,ban,748249500
150,ank,683747700
151, ,0
152,yea,433959800
153,ear,372880500
154, ,0
155,chi,311628500
156,hic,437780900
157,ick,931602000
158, ,0
159,dee,372770500
160,eep,310791800
161, ,0
162,dea,498945000
163,ead,498140400
164, ,0
165,ago,496205900
166, ,0
167,dea,374512600
168,ear,374907100
169, ,0
170,dic,499217100
171,ict,875218900
172,cti,871128500
173,tio,369207400
174,ion,309353700
175,ona,496528800
176,nar,557188800
177,ary,434121100
178, ,0
179,vil,434854800
180,ill,308829700
181,lla,437048600
182,lag,936370300
183,age,810972600
184, ,0
185,qua,623900000
186,uar,557110800
187,art,371215500
188, ,0
189,mea,435519500
190,ean,435667500
191, ,0
192,lan,744604900
193,ang,680529700
194,ngu,433273800
195,gua,496371100
196,uag,559343000
197,age,436581800
198, ,0
199,she,560757900
200, ,0
201,ori,558075700
202,rig,498389200
203,igi,435390500
204,gin,684141200
205,ina,807225300
206,nal,682107200
207, ,0
208,con,559068000
209,ont,622918300
210,nti,620848600
211,tin,559649200
212,ine,560601800
213,nen,811393700
214,ent,749507400
215, ,0
216,opp,311457400
217,ppo,372279000
218,pos,625051200
219,osi,628548300
220,sit,559515300
221,ite,618362800
222, ,0
223,fig,496298900
224,igh,436617400
225,ght,311108200
226, ,0
227,far,496626400
228,arm,688892900
229, ,0
230,nam,620697000
231,ame,556531400
232, ,0
233,pie,1053547200
234,iec,435534800
235,ece,311723800
236, ,0
237,tir,500569800
238,ire,374527000
239, ,0
240,tou,1181430500
241,ouc,1056255900
242,uch,991918200
243, ,0
244,get,435824500
245, ,0
246,pla,435092300
247,lan,745217000
248,ant,621567800
249, ,0
250,sol,436024000
251,olv,434022500
252,lve,496882400
253, ,0
254,man,686675800
255, ,0
256,use,495998300
257, ,0
258,ind,495679200
259,ndi,496702600
260,dic,746546600
261,ica,813036300
262,cat,564811000
263,ate,499412000
264, ,0
265,wif,867985200
266,ife,683757900
267, ,0
268,spo,434611000
269,pot,433696100
270, ,0
271,cre,373046300
272,rea,373465900
273,eas,374353500
274,ase,312471600
275, ,0
276,spr,2622942000
277,pre,2561090100
278,rea,435388900
279,ead,434515900
280, ,0
281,nex,435791300
282,ext,311325200
283, ,0
284,wou,560633800
285,oul,313797500
286,uld,435171700
287, ,0
288,roo,377000800
289,oot,748393800
290, ,0
291,hil,436599900
292,ill,374003600
293, ,0
294,flo,433259400
295,low,434165000
296, ,0
297,cos,560955200
298,ost,686034700
299, ,0
300,org,499861100
301,rga,434750800
302,gan,687151700
303, ,0
304,div,499133700
305,ivi,432712500
306,vid,496379700
307,ide,495070800
308, ,0
