,seq,time
0,th,124124800
1,he,63891300
2,es,4228149000
3,sh,62591400
4,hu,191985300
5,ut,190919100
6,tt,128060900
7,tl,125963400
8,lw,125984400
9,we,236200
10,er,1893113800
11,re,62890300
12,ea,192021000
13,ac,380703500
14,ch,380958800
15,he,64003200
16,ed,188059800
17,dt,1268644200
18,th,127100400
19,he,191960700
20,ei,1136172800
21,ip,126019800
22,pl,128008200
23,ls,2149183700
24,sa,128036300
25,at,63984200
26,te,189006100
27,el,313978500
28,ll,125030500
29,li,185538400
30,it,255050800
31,te,63077500
32,ei,1776048500
33,in,191996800
34,no,1262701800
35,on,127022200
36,nl,314632500
37,ly,190954200
38,ya,2532483700
39,af,123656900
40,fe,191606700
41,ew,252100300
42,wh,946510500
43,ho,124964000
44,ou,190069500
45,ur,316022000
46,rs,393440600
47,si,2219798400
48,in,127992400
49,nt,126157100
50,te,124900600
51,er,253605400
52,rp,1390671000
53,pl,189980300
54,le,192083400
55,en,2282041800
56,ne,128133200
57,et,824575700
58,ta,122851400
59,ar,254021300
60,ry,126055200
61,yl,1515158200
62,la,127010700
63,au,254003500
64,un,441582900
65,nc,635986800
66,ch,123899400
67,hw,2145896600
68,wa,189540000
69,as,756185600
70,sa,124316800
71,ac,691040100
72,ci,125027800
73,ir,189996800
74,ry,2833248600
75,yo,7454013800
76,of,125846100
77,ft,1524680800
78,th,126492900
79,hr,126908500
80,re,821647000
81,ee,190011800
82,et,820596200
83,th,125878100
84,ho,254055200
85,ou,312988000
86,us,440713900
87,sa,126962400
88,an,125996600
89,nd,315021200
90,di,1512539100
91,in,126112700
92,nh,372948300
93,hi,62992400
94,ib,1071346300
95,bi,125472800
96,it,316119100
97,ta,124940100
98,an,188944100
99,nt,313094000
100,ts,879357900
101,sb,1899717000
102,br,125953600
103,re,127579700
104,ea,187818200
105,at,127053000
106,th,188128000
107,hi,313205300
108,in,189704400
109,ng,186384000
110,go,1768629600
111,ox,572620700
112,xy,126904700
113,yg,442617600
114,ge,126022800
115,en,254033800
116,nf,1705064800
117,fr,62994600
118,ro,125991100
119,om,190019100
120,mt,1263530400
121,th,126699000
122,he,186032000
123,ep,316951100
124,pl,192023300
125,la,62947600
126,an,191262500
127,nt,126509300
128,ts,440902500
129,st,1515641600
130,th,189492100
131,ha,239300
132,at,249806000
133,ta,566047100
134,al,187567600
135,ls,191179200
136,so,124057700
137,of,1459496200
138,fe,125617900
139,ed,251937000
140,dt,438030600
141,th,187031300
142,he,63600800
143,em,378927000
144,md,3912023700
145,dr,125144000
146,ri,123894100
147,in,126024200
148,nk,190042900
149,ki,255048200
150,in,127954800
151,ng,189096100
152,gw,1517979600
153,wa,125795200
154,at,122848600
155,te,191007600
156,er,252983900
157,rt,636741200
158,th,1195452900
159,ha,126084000
160,at,188911600
161,th,3484470600
162,ha,64085100
163,ad,317088200
164,da,883438500
165,al,125133800
166,lr,190912400
167,re,189000300
168,ea,191976500
169,ad,1766079800
170,dy,188913400
171,yp,1772509900
172,pa,190130800
173,as,252942100
174,ss,125943000
175,se,251015100
176,ed,190940700
177,dt,1137799400
178,th,126962300
179,hr,186079400
180,ro,252018900
181,ou,443989800
182,ug,315992500
183,gh,189227300
184,ht,954607500
185,th,189888800
186,he,187652600
187,ei,191775500
188,ir,190012600
189,rb,1452747600
190,bo,189871100
191,od,508147500
192,di,128534000
193,ie,63596000
194,es,314416900
195,st,1769197500
196,te,316114400
197,en,191069600
198,nt,314966500
199,th,189994900
200,ho,188962700
201,ou,823141000
202,us,63093000
203,sa,187483700
204,an,128054500
205,nd,252939600
206,dt,1586665500
207,ti,505025200
208,im,126002100
209,mw,189941700
210,ws,1955769800
211,sl,1891631300
212,li,316317900
213,iv,255890800
214,vi,127186700
215,in,127861000
216,ng,190009700
217,go,1595056400
218,on,126172900
219,nl,188962400
220,ly,377970400
221,yt,691647100
222,to,127015500
223,os,949894200
224,se,191124300
225,er,316020400
226,rv,315908300
227,vi,190003900
228,ic,63928100
229,ce,379200500
230,et,1392694600
231,th,188042500
232,he,125945900
233,et,316519300
234,tu,255065300
235,ug,696018400
236,gs,190041600
237,st,2397341800
238,th,126864300
239,ha,189057500
240,at,190968800
241,td,823214000
242,di,128038600
243,id,188987500
244,da,1582162800
245,al,189071800
246,ll,126016900
247,lt,187977700
248,th,190934700
249,he,191077700
250,eo,2349740300
251,ox,63981300
252,xw,253049400
253,wo,696512600
254,or,62042200
255,rk,252941300
256,ki,1640186600
257,in,190957500
258,nt,124069700
259,th,250062900
260,he,186875900
261,es,1636953500
262,so,125030100
263,ol,127933800
264,la,884616600
265,ar,250987600
266,rs,314529400
