,seq,time
0,the,188016100
1,hes,4292040300
2,esh,4290740400
3,shu,254576700
4,hut,382904400
5,utt,318980000
6,ttl,254024300
7,tlw,251947800
8,lwe,126220600
9,wer,1893350000
10,ere,1956004100
11,rea,254911300
12,eac,572724500
13,ach,761662300
14,che,444962000
15,hed,252063000
16,edt,1456704000
17,dth,1395744600
18,the,319061100
19,hei,1328133500
20,eip,1262192600
21,ipl,254028000
22,pls,2277191900
23,lsa,2277220000
24,sat,192020500
25,ate,252990300
26,tel,502984600
27,ell,439009000
28,lli,310568900
29,lit,440589200
30,ite,318128300
31,tei,1839126000
32,ein,1968045300
33,ino,1454698600
34,non,1389724000
35,onl,441654700
36,nly,505586700
37,lya,2723437900
38,yaf,2656140600
39,afe,315263600
40,few,443707000
41,ewh,1198610800
42,who,1071474500
43,hou,315033500
44,our,506091500
45,urs,709462600
46,rsi,2613239000
47,sin,2347790800
48,int,254149500
49,nte,251057700
50,ter,378506000
51,erp,1644276400
52,rpl,1580651300
53,ple,382063700
54,len,2474125200
55,ene,2410175000
56,net,952708900
57,eta,947427100
58,tar,376872700
59,ary,380076500
60,ryl,1641213400
61,yla,1642168900
62,lau,381014200
63,aun,695586400
64,unc,1077569700
65,nch,759886200
66,chw,2269796000
67,hwa,2335436600
68,was,945725600
69,asa,880502400
70,sac,815356900
71,aci,816067900
72,cir,315024600
73,iry,3023245400
74,ryo,10287262400
75,yof,7579859900
76,oft,1650526900
77,fth,1651173700
78,thr,253401400
79,hre,948555500
80,ree,1011658800
81,eet,1010608000
82,eth,946474300
83,tho,379933300
84,hou,567043200
85,ous,753701900
86,usa,567676300
87,san,252959000
88,and,441017800
89,ndi,1827560300
90,din,1638651800
91,inh,499061000
92,nhi,435940700
93,hib,1134338700
94,ibi,1196819100
95,bit,441591900
96,ita,441059200
97,tan,313884200
98,ant,502038100
99,nts,1192451900
100,tsb,2779074900
101,sbr,2025670600
102,bre,253533300
103,rea,315397900
104,eat,314871200
105,ath,315181000
106,thi,501333300
107,hin,502909700
108,ing,376088400
109,ngo,1955013600
110,gox,2341250300
111,oxy,699525400
112,xyg,569522300
113,yge,568640400
114,gen,380056600
115,enf,1959098600
116,nfr,1768059400
117,fro,188985700
118,rom,316010200
119,omt,1453549500
120,mth,1390229400
121,the,312731000
122,hep,502983100
123,epl,508974400
124,pla,254970900
125,lan,254210100
126,ant,317771800
127,nts,567411800
128,tst,1956544100
129,sth,1705133700
130,tha,189731400
131,hat,250045300
132,ata,815853100
133,tal,753614700
134,als,378746800
135,lso,315236900
136,sof,1583553900
137,ofe,1585114100
138,fed,377554900
139,edt,689967600
140,dth,625061900
141,the,250632100
142,hem,442527800
143,emd,4290950700
144,mdr,4037167700
145,dri,249038100
146,rin,249918300
147,ink,316067100
148,nki,445091100
149,kin,383003000
150,ing,317050900
151,ngw,1707075700
152,gwa,1643774800
153,wat,248643800
154,ate,313856200
155,ter,443991500
156,ert,889725100
157,rth,1832194100
158,tha,1321536900
159,hat,314995600
160,ath,3673382200
161,tha,3548555700
162,had,381173300
163,ada,1200526700
164,dal,1008572300
165,alr,316046200
166,lre,379912700
167,rea,380976800
168,ead,1958056300
169,ady,1954993200
170,dyp,1961423300
171,ypa,1962640700
172,pas,443072900
173,ass,378885100
174,sse,376958100
175,sed,441955800
176,edt,1328740100
177,dth,1264761700
178,thr,313041700
179,hro,438098300
180,rou,696008700
181,oug,759982300
182,ugh,505219800
183,ght,1143834800
184,hth,1144496300
185,the,377541400
186,hei,379428100
187,eir,381788100
188,irb,1642760200
189,rbo,1642618700
190,bod,698018600
191,odi,636681500
192,die,192130000
193,ies,378012900
194,est,2083614400
195,ste,2085311900
196,ten,507184000
197,ent,506036100
198,nth,504961400
199,tho,378957600
200,hou,1012103700
201,ous,886234000
202,usa,250576700
203,san,315538200
204,and,380994100
205,ndt,1839605100
206,dti,2091690700
207,tim,631027300
208,imw,315943800
209,mws,2145711500
210,wsl,3847401100
211,sli,2207949200
212,liv,572208700
213,ivi,383077500
214,vin,255047700
215,ing,317870700
216,ngo,1785066100
217,gon,1721229300
218,onl,315135300
219,nly,566932800
220,lyt,1069617500
221,yto,818662600
222,tos,1076909700
223,ose,1141018500
224,ser,507144700
225,erv,631928700
226,rvi,505912200
227,vic,253932000
228,ice,443128600
229,cet,1771895100
230,eth,1580737100
231,the,313988400
232,het,442465200
233,etu,571584600
234,tug,951083700
235,ugs,886060000
236,gst,2587383400
237,sth,2524206100
238,tha,315921800
239,hat,380026300
240,atd,1014182800
241,tdi,951252600
242,did,317026100
243,ida,1771150300
244,dal,1771234600
245,all,315088700
246,llt,313994600
247,lth,378912400
248,the,382012400
249,heo,2540818000
250,eox,2413721600
251,oxw,317030700
252,xwo,949562000
253,wor,758554800
254,ork,314983500
255,rki,1893127900
256,kin,1831144100
257,int,315027200
258,nth,374132600
259,the,436938800
260,hes,1823829400
261,eso,1761983600
262,sol,252963900
263,ola,1012550400
264,lar,1135604200
265,ars,565517000
266,rsy,442594400
267,sys,317981300
268,yst,379886900
269,ste,380611800
270,tem,506936100
271,ema,1711448900
272,man,1773281000
273,and,505117300
274,ndt,571062500
275,dth,567964400
276,the,314941100
277,hes,2411133800
278,esh,2284047900
279,shu,634944900
280,hut,758574600
281,utt,376159700
282,ttl,374533200
283,tle,311969100
284,les,564975700
285,est,692157000
286,sth,442108900
287,tha,440965100
288,hat,441023800
289,att,1144128900
290,tto,1144156000
291,too,316549300
292,ook,383489900
293,okt,1010844200
294,kth,880745100
295,tha,315912600
296,hai,314978800
297,air,505854600
298,irc,2966376900
299,rca,2713537700
300,car,318048700
301,arg,947995700
302,rgo,950092800
303,goe,380943100
304,oes,1958970800
305,esa,2207076300
306,san,562131200
307,and,311971800
308,ndp,686381000
309,dpa,755512600
310,pas,572947400
311,ass,508045400
312,sse,441522800
313,sen,438477000
314,eng,633994600
315,nge,574037100
316,ger,379663200
317,ers,2724437600
318,rsb,2662921400
319,sba,253232300
320,bac,377950100
321,ack,568021100
322,ckt,1263578500
323,kto,1138381400
324,tot,950046900
325,oth,948924000
326,the,253932400
327,hee,565976700
328,eea,693961200
329,ear,1331536600
330,art,1262667200
331,rth,314016700
332,tho,1651010600
333,hor,2027282400
334,ort,756070100
335,rth,314939100
336,the,189976200
337,hem,632947700
338,emo,693147700
339,mon,375162200
340,onn,2714361100
341,nni,4233982900
342,nit,1834797700
343,itw,818353600
344,twa,944124900
345,was,3228336200
346,asa,3352321400
347,saw,757577800
348,awo,571751400
349,wor,888115700
350,orl,888543000
351,rld,1779666300
352,ldw,2220007000
353,dwh,752509700
354,whr,369611400
355,hrr,1381627000
356,rre,1385134500
357,reb,2157129600
358,ebr,3035909900
359,bri,1318239300
360,rie,378964800
361,ief,826279200
362,efl,2912601000
363,fly,2341267800
364,lye,1901455800
365,yen,2026561600
366,end,379054900
367,nde,382918600
368,der,507161700
369,erf,1582342500
370,rfe,1329053900
371,fel,248895700
372,elt,501702800
373,lta,1389320700
374,tat,1264604400
375,ath,951580700
376,tho,824470000
377,hom,253044100
378,ome,697117700
379,mes,1836606900
