,seq,time
0,th,124881000
1,he,126115400
2,es,254007300
3,sh,62935500
4,hu,251390600
5,ut,125854100
6,tt,125999800
7,tl,252988500
8,le,188956300
9,er,378671800
10,re,62995700
11,ea,61976600
12,ac,252932400
13,ch,125993600
14,he,127002300
15,ed,188610200
16,dt,187992400
17,th,63995400
18,he,253006400
19,ei,570624300
20,ip,190061800
21,pl,252890600
22,ls,253033100
23,sa,250664500
24,at,189955500
25,te,127974500
26,el,188067800
27,ll,123896500
28,li,61195300
29,it,188903100
30,te,125596500
31,ei,246042800
32,in,126943500
33,no,373038500
34,on,189563400
35,nl,125089100
36,ly,191029900
37,ya,255870600
38,af,567700600
39,fe,251997100
40,ew,188068900
41,wh,443435500
42,ho,189186500
43,ou,62897900
44,ur,185956500
45,rs,191037800
46,si,503601800
47,in,127015800
48,nt,125011200
49,te,125019100
50,er,62935800
51,rf,316015700
52,fl,187610600
53,la,125995600
54,an,379036300
55,ne,64275200
56,et,315390200
57,ta,377930300
58,ar,315066300
59,ry,253278500
60,yl,377586900
61,la,126279900
62,au,310918200
63,un,251582900
64,nc,192008500
65,ch,126910000
66,hw,631051400
67,wa,62845400
68,as,250036700
69,sa,628235500
70,ac,315746600
71,ci,127109300
72,it,125939400
73,ty,188929100
74,yo,247056800
75,of,124682600
76,ft,505914600
77,th,125054700
78,hr,252105400
79,re,253590500
80,ee,189932200
81,et,128003300
82,th,125955100
83,ho,127115900
84,ou,123895400
85,us,189676100
86,sa,125925800
87,an,191054500
88,nd,126970000
89,di,189002800
90,in,124051400
91,nh,317498700
92,ha,63036700
93,ab,506926700
94,bi,191134700
95,it,254603000
96,ta,123956500
97,an,189030800
98,nt,126999700
99,ts,187994100
100,sb,693678900
101,br,249961300
102,re,126096400
103,ea,61924200
104,ag,251787600
105,gi,123893000
106,in,125956600
107,ng,189997000
108,go,1197485900
109,ox,314713500
110,xy,187929500
111,yg,382025600
112,ge,63028400
113,en,188956900
114,nf,315605400
115,fr,182853300
116,ro,127050000
117,om,63018100
118,mt,127055700
119,th,182989700
120,he,125193400
121,ep,188143200
122,pl,189725200
123,la,126076000
124,an,189105800
125,nt,191888700
126,ts,187617200
127,st,380807200
128,th,127940800
129,ha,63641400
130,at,63865100
131,tl,378676800
132,ls,944130500
133,so,254183300
134,of,504618200
135,fe,125807800
136,ed,316693400
137,dt,126022900
138,th,190009100
139,he,252008600
140,em,189758000
141,md,443803200
142,dr,250184800
143,ri,125833900
144,in,62946000
145,ng,252632000
146,gw,442990900
147,wa,64059300
148,at,191980400
149,te,125670000
150,er,126998900
151,rt,316028600
152,th,125944700
153,ha,125952900
154,at,125029700
155,th,752650700
156,ha,124992500
157,ad,370732500
158,dl,378883700
159,lr,822611700
160,re,125997300
161,ea,188020500
162,ad,250041700
163,dy,252537200
164,yp,507052800
165,pa,126967900
166,as,64007500
167,ss,188922000
168,se,192019500
169,ed,251001100
170,dt,252006800
171,tr,189035500
172,rh,1388656500
173,ho,256117500
174,ou,122882500
175,ug,378565100
176,gh,126193200
177,ht,826165300
178,th,125999800
179,he,191034900
180,er,123980000
181,ri,189942200
182,ib,883995700
183,bo,61975900
184,od,188001500
185,di,125145700
186,ie,187808700
187,es,62247600
188,st,315866000
189,te,379874500
190,en,189195700
191,nt,378889600
192,th,189027300
193,ho,63996300
194,ou,127848600
195,us,315049300
196,sa,252005600
197,an,187986500
198,nd,126051800
199,dt,699488900
200,ti,63941600
201,im,128133400
202,me,192026800
203,es,190975000
204,sl,571661300
205,li,126877800
206,iv,189952900
207,vi,188028200
208,in,124022400
209,ng,128005200
210,go,251974800
211,on,189039600
212,nl,128031300
213,ly,125952300
214,yt,255024300
215,to,125972400
216,os,255981200
217,se,127134600
218,er,358200
219,rv,315078100
220,vi,125969300
221,ic,126050100
222,ce,251898100
223,et,316097400
224,th,125935300
225,he,62976600
226,et,251962300
227,tu,126070800
228,ug,317810100
229,gs,190118300
230,st,504054100
231,th,124122000
232,ha,61903600
233,at,128039200
234,td,311214000
235,di,64183300
236,id,190745400
237,da,371103100
238,al,127005700
239,ll,126084300
240,lt,188920600
241,th,125872300
242,he,127025300
243,eo,253025200
244,ox,123972000
245,xw,446015300
246,wo,62039000
247,or,190081600
248,rk,189940900
249,ki,189954900
250,in,187988200
251,nt,125089400
252,th,190048100
253,he,62850700
254,es,252009200
255,so,128110000
256,ol,187959200
257,la,124051600
258,ar,127904100
259,rs,250076200
260,sy,125962000
261,ys,127072300
262,st,126038500
263,te,124879700
264,em,189002500
265,ma,188072200
266,an,189870500
267,nd,125080100
268,dt,252085000
269,th,124890000
270,he,127945300
271,es,253127800
272,sh,188922500
273,hu,251055600
274,ut,187939600
275,tt,189962200
276,tl,63116600
277,le,189984800
278,es,124009100
279,st,189880600
280,th,127068600
281,ha,60992000
282,at,125974300
283,tt,252030400
284,to,253035500
285,oo,126962800
286,ok,251008100
287,kt,504030900
288,th,124882300
289,he,190069600
290,er,186972700
291,ri,62983700
292,ic,1004074500
293,ca,124898000
294,ar,125982200
295,rg,374185800
296,go,189883300
297,oe,379938900
298,es,64018700
299,sa,314038700
300,an,128049700
301,nd,126992700
302,dp,944014400
303,pa,375892800
304,as,443597000
305,ss,252941500
306,sw,252944600
307,we,761003000
308,en,189162000
309,ng,561962700
310,ge,188929700
311,er,233700
312,rs,190227700
313,sb,507010600
314,ba,126021900
315,ac,253060100
316,ck,126240100
317,kt,252696800
318,to,123980200
319,ot,188262600
320,th,124805700
321,he,61923800
322,ee,560403200
323,ea,62601200
324,ar,125056100
325,rt,941968500
326,th,124975200
327,ho,1008041300
328,or,252945000
329,rt,440044000
330,th,63124600
331,he,123821100
332,em,302108800
333,mo,185914900
334,oo,128147300
335,on,127916500
336,ni,568913600
337,it,127080400
338,tw,252165600
339,wa,125976700
340,as,252059900
341,sa,251937000
342,aa,378605000
343,aw,871232800
344,wo,250820000
345,or,64045800
346,rl,187977800
347,ld,123982000
348,dw,507057100
349,wh,126952200
350,he,189032300
351,er,126010600
352,re,127053000
353,eb,880153400
354,br,251926400
355,ri,125708100
356,ie,378010800
357,ef,251938900
358,fl,503173400
359,ly,188857900
360,ye,1127562600
361,en,125006900
362,nd,128170600
363,de,186895000
364,er,61927400
365,rf,317037900
366,fe,315999800
367,el,190054800
368,lt,567272400
369,ta,315957600
370,at,253174600
371,th,442634300
372,ho,62970600
373,om,190068500
374,me,190883900
375,es,505508200
376,si,126098200
377,ic,189077000
378,ce,249842600
379,ei,190073600
380,it,183903000
381,ts,188032600
382,sf,313052700
383,fl,748953900
384,lo,311993000
385,oo,122945700
386,or,188230200
387,rs,187799900
388,ss,621995800
389,sl,127026600
390,lo,1819678900
391,op,184953400
392,pe,125127900
393,ed,249982100
394,du,375002300
395,up,124033100
396,pw,440007600
397,wa,64011300
398,ar,127120700
399,rd,251868500
400,da,506936600
401,as,128156400
402,st,314678600
403,th,125016700
404,he,125682400
405,ey,191397700
406,yd,441118800
407,di,125952000
408,id,126152100
409,di,314812400
410,in,191060800
411,nt,187879600
412,th,62020900
413,he,188183600
414,eb,313050400
415,ba,126023500
416,at,191022100
417,tt,126156000
418,tl,126812200
419,le,61999400
420,es,251247400
421,sc,253820000
422,ch,125035200
423,ho,252063900
424,oo,125866800
425,ol,189088700
