,seq,time
0,the,250996400
1,hes,380122700
2,esh,316942800
3,shu,314326100
4,hut,377244700
5,utt,251853900
6,ttl,378988300
7,tle,441944800
8,ler,567628100
9,ere,441667500
10,rea,124972300
11,eac,314909000
12,ach,378926000
13,che,252995900
14,hed,315612500
15,edt,376602600
16,dth,251987800
17,the,317001800
18,hei,823630700
19,eip,760686100
20,ipl,442952400
21,pls,505923700
22,lsa,503697600
23,sat,440620000
24,ate,317930000
25,tel,316042300
26,ell,311964300
27,lli,185091800
28,lit,250098400
29,ite,314499600
30,tei,371639300
31,ein,372986300
32,ino,499982000
33,non,562601900
34,onl,314652500
35,nly,316119000
36,lya,446900500
37,yaf,823571200
38,afe,819697700
39,few,440066000
40,ewh,631504400
41,who,632622000
42,hou,252084400
43,our,248854400
44,urs,376994300
45,rsi,694639600
46,sin,630617600
47,int,252027000
48,nte,250030300
49,ter,187954900
50,erf,378951500
51,rfl,503626300
52,fla,313606200
53,lan,505031900
54,ane,443311500
55,net,379665400
56,eta,693320500
57,tar,692996600
58,ary,568344800
59,ryl,630865400
60,yla,503866800
61,lau,437198100
62,aun,562501100
63,unc,443591400
64,nch,318918500
65,chw,757961400
66,hwa,693896800
67,was,312882100
68,asa,878272200
69,sac,943982100
70,aci,442855900
71,cit,253048700
72,ity,314868500
73,tyo,435985900
74,yof,371739400
75,oft,630597200
76,fth,630969300
77,thr,377160100
78,hre,505695900
79,ree,443522700
80,eet,317935500
81,eth,253958400
82,tho,253071000
83,hou,251011300
84,ous,313571500
85,usa,315601900
86,san,316980300
87,and,318024500
88,ndi,315972800
89,din,313054200
90,inh,441550100
91,nha,380535400
92,hab,569963400
93,abi,698061400
94,bit,445737700
95,ita,378559500
96,tan,312987300
97,ant,316030500
98,nts,314993800
99,tsb,881673000
100,sbr,943640200
101,bre,376057700
102,rea,188020600
103,eag,313711800
104,agi,375680600
105,gin,249849600
106,ing,315953600
107,ngo,1387482900
108,gox,1512199400
109,oxy,502643000
110,xyg,569955100
111,yge,445054000
112,gen,251985300
113,enf,504562300
114,nfr,498458700
115,fro,309903300
116,rom,190068100
117,omt,190073800
118,mth,310045400
119,the,308183100
120,hep,313336600
121,epl,377868400
122,pla,315801200
123,lan,315181800
124,ant,380994500
125,nts,379505900
126,tst,568424400
127,sth,508748000
